Country,Date,Player,Pos,PKwon,OG,Save%,Pk SO scorer,GK PK SO saves,Mins,Gls,Ast,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
Argentina,2020-10-08,Lautaro Martínez,FW,0.0,0,0.0,0.0,0.0,3257,25,7,1,1,94.0,41.0,20.0,3,0,27.0,0.0,36.18888888888889,0.6908197727970525,0.1934295363831747,2.597482345716917,1.132944427387166,0.08289837273564629,0.0,0.7460853546208167,0.0
Argentina,2020-10-08,Lucas Alario,FW,0.0,0,0.0,0.0,0.0,23,0,0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,0.25555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,3.91304347826087,0.0
Argentina,2020-10-08,Lucas Ocampos,AM,0.0,0,0.0,0.0,0.0,367,0,0,0,0,5.0,1.0,4.0,1,0,4.0,0.0,4.0777777777777775,0.0,0.0,1.226158038147139,0.2452316076294278,0.2452316076294278,0.0,0.9809264305177112,0.0
Argentina,2020-10-08,Nicolás Domínguez,MF,0.0,0,0.0,0.0,0.0,72,0,0,0,0,1.0,0.0,1.0,1,0,3.0,0.0,0.8,0.0,0.0,1.25,0.0,1.25,0.0,3.75,0.0
Argentina,2020-10-08,Lionel Messi,AM,0.0,0,0.0,0.0,0.0,4784,44,17,9,10,173.0,71.0,21.0,1,0,24.0,0.0,53.15555555555556,0.8277591973244147,0.31981605351170567,3.2545986622073575,1.3357023411371236,0.018812709030100332,0.0,0.451505016722408,0.0
Argentina,2020-10-08,Marcos Acuña,DM,0.0,0,0.0,0.0,0.0,2170,0,1,0,0,11.0,3.0,34.0,6,0,15.0,0.0,24.11111111111111,0.0,0.041474654377880185,0.45622119815668205,0.12442396313364056,0.2488479262672811,0.0,0.6221198156682027,0.0
Argentina,2020-10-08,Eduardo Salvio,"FW,MF",0.0,0,0.0,0.0,0.0,25,0,0,0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.2777777777777778,0.0,0.0,3.5999999999999996,0.0,0.0,0.0,0.0,0.0
Argentina,2020-10-08,Leandro Paredes,DM,0.0,0,0.0,0.0,0.0,2918,2,3,0,1,23.0,6.0,51.0,11,0,24.0,0.0,32.422222222222224,0.0616860863605209,0.09252912954078135,0.7093899931459904,0.1850582590815627,0.339273474982865,0.0,0.7402330363262508,0.0
Argentina,2020-10-08,Rodrigo De Paul,DM,0.0,0,0.0,0.0,0.0,4863,2,9,0,0,47.0,14.0,58.0,6,0,28.0,0.0,54.03333333333333,0.03701418877236274,0.16656384947563233,0.8698334361505244,0.2590993214065392,0.11104256631708823,0.0,0.5181986428130784,0.0
Argentina,2020-10-08,Nicolás Tagliafico,LB,0.0,0,0.0,0.0,0.0,3519,1,0,0,0,19.0,5.0,45.0,6,0,22.0,0.0,39.1,0.02557544757033248,0.0,0.4859335038363171,0.1278772378516624,0.1534526854219949,0.0,0.5626598465473146,0.0
Argentina,2020-10-08,Nicolás Otamendi,CB,0.0,0,0.0,0.0,0.0,4546,3,1,0,0,18.0,4.0,47.0,11,1,27.0,0.0,50.51111111111111,0.059392872855257364,0.019797624285085788,0.3563572371315442,0.07919049714034315,0.21777386713594368,0.019797624285085788,0.5345358556973163,0.0
Argentina,2020-10-08,Lucas Martínez Quarta,CB,0.0,0,0.0,0.0,0.0,695,0,0,0,0,5.0,0.0,14.0,2,0,6.0,0.0,7.722222222222222,0.0,0.0,0.6474820143884892,0.0,0.2589928057553957,0.0,0.776978417266187,0.0
Argentina,2020-10-08,Gonzalo Montiel,RB,0.0,0,0.0,0.0,0.0,1984,2,0,0,0,2.0,0.0,32.0,8,0,20.0,0.0,22.044444444444444,0.0907258064516129,0.0,0.0907258064516129,0.0,0.3629032258064516,0.0,0.907258064516129,0.0
Argentina,2020-10-08,Juan Foyth,DF,0.0,0,0.0,0.0,0.0,360,0,0,0,0,2.0,0.0,2.0,0,0,4.0,0.0,4.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
Argentina,2020-10-08,Franco Armani,GK,0.0,0,0.0,0.0,0.0,641,0,0,0,0,0.0,0.0,0.0,0,0,3.0,6.0,7.122222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.421216848673947,0.842433697347894
Argentina,2020-10-13,Joaquín Correa,"FW,MF",0.0,0,0.0,0.0,0.0,596,3,0,0,0,17.0,10.0,1.0,1,0,4.0,0.0,6.622222222222222,0.45302013422818793,0.0,2.5671140939597317,1.5100671140939599,0.15100671140939598,0.0,0.6040268456375839,0.0
Argentina,2020-10-13,Facundo Medina,DF,0.0,0,0.0,0.0,0.0,161,0,0,0,0,0.0,0.0,3.0,0,0,2.0,0.0,1.788888888888889,0.0,0.0,0.0,0.0,0.0,0.0,1.1180124223602483,0.0
Argentina,2020-10-13,Exequiel Palacios,CM,0.0,0,0.0,0.0,0.0,905,0,4,0,0,2.0,0.0,19.0,2,0,11.0,0.0,10.055555555555555,0.0,0.39779005524861877,0.19889502762430938,0.0,0.19889502762430938,0.0,1.0939226519337018,0.0
Argentina,2020-10-13,Guido Rodríguez,MF,0.0,0,0.0,0.0,0.0,924,1,0,0,0,4.0,2.0,19.0,1,0,5.0,0.0,10.266666666666667,0.0974025974025974,0.0,0.3896103896103896,0.1948051948051948,0.0974025974025974,0.0,0.48701298701298695,0.0
Argentina,2020-11-12,Ángel Di María,"FW,MF",0.0,0,0.0,0.0,0.0,2315,10,9,1,1,48.0,26.0,21.0,0,0,17.0,0.0,25.72222222222222,0.38876889848812096,0.34989200863930886,1.8660907127429807,1.0107991360691144,0.0,0.0,0.6609071274298056,0.0
Argentina,2020-11-12,Nicolás González,DM,0.0,0,0.0,0.0,0.0,2422,6,6,0,0,38.0,17.0,24.0,3,1,14.0,0.0,26.91111111111111,0.22295623451692814,0.22295623451692814,1.412056151940545,0.6317093311312965,0.11147811725846407,0.037159372419488024,0.5202312138728323,0.0
Argentina,2020-11-12,Giovani Lo Celso,"FW,MF",0.0,0,0.0,0.0,0.0,2291,2,12,0,0,18.0,5.0,21.0,7,0,15.0,0.0,25.455555555555556,0.0785683107813182,0.4714098646879092,0.7071147970318639,0.1964207769532955,0.2749890877346137,0.0,0.5892623308598866,0.0
Argentina,2020-11-17,Papu Gómez,"FW,MF",0.0,0,0.0,0.0,0.0,684,2,2,0,0,10.0,4.0,9.0,0,0,6.0,0.0,7.6,0.2631578947368421,0.2631578947368421,1.3157894736842106,0.5263157894736842,0.0,0.0,0.7894736842105263,0.0
Argentina,2021-06-03,Julián Álvarez,"FW,MF",0.0,0,0.0,0.0,0.0,2940,12,3,0,0,46.0,25.0,19.0,2,0,24.0,0.0,32.666666666666664,0.3673469387755102,0.09183673469387756,1.4081632653061225,0.7653061224489797,0.06122448979591837,0.0,0.7346938775510204,0.0
Argentina,2021-06-03,Lisandro Martínez,"DF,MF",0.0,0,0.0,0.0,0.0,1768,1,0,0,0,11.0,3.0,13.0,3,0,12.0,0.0,19.644444444444446,0.05090497737556561,0.0,0.5599547511312217,0.15271493212669682,0.15271493212669682,0.0,0.6108597285067873,0.0
Argentina,2021-06-03,Cristian Romero,CB,0.0,0,0.0,0.0,0.0,3722,3,1,0,0,6.0,3.0,66.0,9,0,18.0,0.0,41.355555555555554,0.07254164427727029,0.02418054809242343,0.14508328855454058,0.07254164427727029,0.21762493283181086,0.0,0.4352498656636217,0.0
Argentina,2021-06-03,Nahuel Molina,"DF,MF",0.0,0,0.0,0.0,0.0,3979,1,4,0,0,5.0,3.0,49.0,3,0,25.0,0.0,44.21111111111111,0.02261874842925358,0.09047499371701433,0.11309374214626791,0.06785624528776074,0.06785624528776074,0.0,0.5654687107313395,0.0
Argentina,2021-06-03,Emiliano Martínez,GK,0.0,0,0.0,0.0,0.0,4993,0,0,0,0,0.0,0.0,0.0,2,0,23.0,79.0,55.477777777777774,0.0,0.0,0.0,0.0,0.036050470658922494,0.0,0.4145804125776087,1.4239935910274386
Argentina,2021-06-14,Sergio Agüero,FW,0.0,0,0.0,0.0,0.0,132,0,1,0,0,4.0,1.0,4.0,0,0,2.0,0.0,1.4666666666666666,0.0,0.6818181818181819,2.7272727272727275,0.6818181818181819,0.0,0.0,1.3636363636363638,0.0
Argentina,2021-06-21,Ángel Correa,RW,0.0,0,0.0,0.0,0.0,265,1,0,0,0,4.0,3.0,5.0,0,0,4.0,0.0,2.9444444444444446,0.33962264150943394,0.0,1.3584905660377358,1.0188679245283019,0.0,0.0,1.3584905660377358,0.0
Argentina,2021-06-21,Germán Pezzella,CB,0.0,0,0.0,0.0,0.0,1537,1,0,0,0,4.0,1.0,10.0,5,0,10.0,0.0,17.07777777777778,0.05855562784645413,0.0,0.2342225113858165,0.05855562784645413,0.29277813923227064,0.0,0.5855562784645413,0.0
Argentina,2021-09-02,Paulo Dybala,"FW,MF",0.0,0,0.0,0.0,0.0,198,1,2,0,0,5.0,2.0,4.0,1,0,6.0,0.0,2.2,0.45454545454545453,0.9090909090909091,2.2727272727272725,0.9090909090909091,0.45454545454545453,0.0,2.727272727272727,0.0
Argentina,2021-09-09,Juan Musso,GK,0.0,0,100.0,0.0,0.0,90,0,0,0,0,0.0,0.0,0.0,0,0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
