Country,Date,Player,Pos,PKwon,OG,Save%,Pk SO scorer,GK PK SO saves,Mins,Gls,Ast,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
Brazil,2019-11-19,Richarlison,FW,0.0,0,0.0,0.0,0.0,1756,13,1,0,0,35.0,19.0,20.0,2,0,19.0,0.0,19.511111111111113,0.6662870159453302,0.05125284738041002,1.7938496583143506,0.9738041002277903,0.10250569476082004,0.0,0.9738041002277903,0.0
Brazil,2019-11-19,Philippe Coutinho,FW,0.0,0,0.0,0.0,0.0,432,5,0,1,1,13.0,5.0,3.0,0,0,4.0,0.0,4.8,1.0416666666666667,0.0,2.7083333333333335,1.0416666666666667,0.0,0.0,0.8333333333333334,0.0
Brazil,2019-11-19,Gabriel Jesus,FW,0.0,0,0.0,0.0,0.0,1215,1,2,0,0,21.0,8.0,12.0,3,1,9.0,0.0,13.5,0.07407407407407407,0.14814814814814814,1.5555555555555556,0.5925925925925926,0.2222222222222222,0.07407407407407407,0.6666666666666666,0.0
Brazil,2019-11-19,Rodrygo,"FW,MF",0.0,0,0.0,0.0,0.0,1651,5,1,0,0,35.0,12.0,10.0,1,0,24.0,0.0,18.344444444444445,0.2725620835857056,0.054512416717141125,1.9079345850999394,0.6541490006056935,0.054512416717141125,0.0,1.308298001211387,0.0
Brazil,2019-11-19,Lucas Paquetá,CM,0.0,0,0.0,0.0,0.0,3059,10,7,2,3,45.0,14.0,60.0,12,0,31.0,0.0,33.98888888888889,0.2942137953579601,0.20594965675057209,1.3239620791108206,0.41189931350114417,0.35305655442955214,0.0,0.9120627656096764,0.0
Brazil,2019-11-19,Roberto Firmino,"FW,MF",0.0,0,0.0,0.0,0.0,609,4,1,0,0,12.0,7.0,3.0,0,0,5.0,0.0,6.766666666666667,0.5911330049261084,0.1477832512315271,1.7733990147783252,1.0344827586206897,0.0,0.0,0.7389162561576355,0.0
Brazil,2019-11-19,Arthur Melo,CM,0.0,0,0.0,0.0,0.0,183,1,0,0,0,3.0,1.0,0.0,0,0,0.0,0.0,2.033333333333333,0.49180327868852464,0.0,1.4754098360655739,0.49180327868852464,0.0,0.0,0.0,0.0
Brazil,2019-11-19,Douglas Luiz,MF,0.0,0,0.0,0.0,0.0,632,0,0,0,0,3.0,1.0,7.0,2,0,15.0,0.0,7.022222222222222,0.0,0.0,0.4272151898734177,0.14240506329113925,0.2848101265822785,0.0,2.1360759493670884,0.0
Brazil,2019-11-19,Fabinho,DM,0.0,0,0.0,0.0,0.0,871,0,0,0,0,2.0,0.0,24.0,2,0,5.0,0.0,9.677777777777777,0.0,0.0,0.2066590126291619,0.0,0.2066590126291619,0.0,0.5166475315729048,0.0
Brazil,2019-11-19,Renan Lodi,LB,0.0,0,0.0,0.0,0.0,885,0,5,0,0,3.0,1.0,12.0,3,0,8.0,0.0,9.833333333333334,0.0,0.5084745762711864,0.30508474576271183,0.10169491525423728,0.30508474576271183,0.0,0.8135593220338982,0.0
Brazil,2019-11-19,Emerson,"DF,MF",0.0,0,0.0,0.0,0.0,501,0,0,0,0,1.0,0.0,9.0,2,1,10.0,0.0,5.566666666666666,0.0,0.0,0.17964071856287425,0.0,0.3592814371257485,0.17964071856287425,1.7964071856287427,0.0
Brazil,2019-11-19,Éder Militão,CB,0.0,0,0.0,0.0,0.0,2220,2,0,0,0,10.0,2.0,19.0,6,0,16.0,0.0,24.666666666666668,0.08108108108108107,0.0,0.4054054054054054,0.08108108108108107,0.24324324324324323,0.0,0.6486486486486486,0.0
Brazil,2019-11-19,Marquinhos,CB,0.0,0,0.0,0.0,0.0,4069,5,0,0,0,15.0,4.0,34.0,5,0,29.0,0.0,45.21111111111111,0.11059228311624478,0.0,0.33177684934873436,0.08847382649299583,0.11059228311624478,0.0,0.6414352420742198,0.0
Brazil,2019-11-19,Danilo,RB,0.0,0,0.0,0.0,0.0,3205,1,1,0,0,14.0,3.0,38.0,3,0,23.0,0.0,35.611111111111114,0.028081123244929795,0.028081123244929795,0.39313572542901715,0.08424336973478938,0.08424336973478938,0.0,0.6458658346333853,0.0
Brazil,2019-11-19,Alisson,GK,0.0,0,0.0,0.0,0.0,2616,0,0,0,0,0.0,0.0,0.0,1,0,16.0,51.0,29.066666666666666,0.0,0.0,0.0,0.0,0.034403669724770644,0.0,0.5504587155963303,1.7545871559633028
Brazil,2023-11-21,Gabriel Jesus,FW,0.0,0,0.0,0.0,0.0,1215,1,2,0,0,21.0,8.0,12.0,3,1,9.0,0.0,13.5,0.07407407407407407,0.14814814814814814,1.5555555555555556,0.5925925925925926,0.2222222222222222,0.07407407407407407,0.6666666666666666,0.0
Brazil,2023-11-21,Gabriel Martinelli,AM,0.0,0,0.0,0.0,0.0,545,3,0,0,0,13.0,8.0,4.0,1,0,14.0,0.0,6.055555555555555,0.4954128440366973,0.0,2.146788990825688,1.3211009174311927,0.1651376146788991,0.0,2.311926605504587,0.0
Brazil,2023-11-21,Raphael Veiga,MF,0.0,0,0.0,0.0,0.0,96,0,0,0,0,0.0,0.0,0.0,0,0,10.0,0.0,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,9.375,0.0
Brazil,2023-11-21,Rodrygo,AM,0.0,0,0.0,0.0,0.0,1651,5,1,0,0,35.0,12.0,10.0,1,0,24.0,0.0,18.344444444444445,0.2725620835857056,0.054512416717141125,1.9079345850999394,0.6541490006056935,0.054512416717141125,0.0,1.308298001211387,0.0
Brazil,2023-11-21,Raphinha,AM,0.0,0,0.0,0.0,0.0,2050,10,7,3,3,51.0,27.0,24.0,4,0,21.0,0.0,22.77777777777778,0.43902439024390244,0.3073170731707317,2.239024390243902,1.1853658536585365,0.17560975609756097,0.0,0.921951219512195,0.0
