Country,Player,Mins,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
Canada,Ali Ahmed,1033,1,3,0,0,5.0,1.0,0,0,0.0,0.0,11.477777777777778,0.08712487899322362,0.26137463697967084,0.4356243949661181,0.08712487899322362,0.0,0.0,0.0,0.0
Canada,Alistair Johnston,3305,1,1,0,0,3.0,2.0,6,0,0.0,0.0,36.72222222222222,0.02723146747352496,0.02723146747352496,0.0816944024205749,0.05446293494704992,0.1633888048411498,0.0,0.0,0.0
Canada,Alphonso Davies,2462,5,8,1,2,9.0,1.0,3,0,0.0,0.0,27.355555555555554,0.18277822908204713,0.2924451665312754,0.3290008123476848,0.036555645816409424,0.10966693744922827,0.0,0.0,0.0
Canada,Atiba Hutchinson,980,2,1,0,0,2.0,0.0,1,0,0.0,0.0,10.88888888888889,0.18367346938775508,0.09183673469387754,0.18367346938775508,0.0,0.09183673469387754,0.0,0.0,0.0
Canada,Ayo Akinola,57,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Charles-Andréas Brym,180,0,0,0,0,0.0,0.0,1,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
Canada,Cyle Larin,2505,18,0,2,2,18.0,7.0,2,0,0.0,0.0,27.833333333333332,0.6467065868263473,0.0,0.6467065868263473,0.25149700598802394,0.0718562874251497,0.0,0.0,0.0
Canada,Daniel Jebbison,67,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.7444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,David Wotherspoon,399,1,3,0,0,0.0,0.0,0,0,0.0,0.0,4.433333333333334,0.22556390977443608,0.6766917293233082,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Dayne St. Clair,1110,0,0,0,0,0.0,0.0,1,0,14.0,15.0,12.333333333333334,0.0,0.0,0.0,0.0,0.08108108108108107,0.0,1.135135135135135,1.2162162162162162
Canada,Derek Cornelius,1450,1,0,0,0,3.0,0.0,6,0,0.0,0.0,16.11111111111111,0.06206896551724138,0.0,0.18620689655172415,0.0,0.3724137931034483,0.0,0.0,0.0
Canada,Dominick Zator,44,0,0,0,0,0.0,0.0,1,0,0.0,0.0,0.4888888888888889,0.0,0.0,0.0,0.0,2.0454545454545454,0.0,0.0,0.0
Canada,Doneil Henry,761,0,0,0,0,2.0,0.0,4,0,0.0,0.0,8.455555555555556,0.0,0.0,0.23653088042049933,0.0,0.47306176084099866,0.0,0.0,0.0
Canada,Frank Sturing,180,1,0,0,0,0.0,0.0,0,0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Harry Paton,29,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.32222222222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Ike Ugbo,80,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,Ismaël Koné,1322,2,0,0,0,8.0,2.0,5,0,0.0,0.0,14.688888888888888,0.1361573373676248,0.0,0.5446293494704992,0.1361573373676248,0.340393343419062,0.0,0.0,0.0
Canada,Jacen Russell-Rowe,94,0,0,0,0,2.0,1.0,0,0,0.0,0.0,1.0444444444444445,0.0,0.0,1.9148936170212765,0.9574468085106382,0.0,0.0,0.0,0.0
Canada,Jacob Shaffelburg,939,3,1,0,0,10.0,5.0,4,1,0.0,0.0,10.433333333333334,0.28753993610223644,0.09584664536741214,0.9584664536741214,0.4792332268370607,0.38338658146964855,0.09584664536741214,0.0,0.0
Canada,Jamie Knight-Lebel,14,0,0,0,0,1.0,0.0,0,0,0.0,0.0,0.15555555555555556,0.0,0.0,6.428571428571429,0.0,0.0,0.0,0.0,0.0
Canada,Jayden Nelson,158,1,0,0,0,1.0,1.0,1,0,0.0,0.0,1.7555555555555555,0.569620253164557,0.0,0.569620253164557,0.569620253164557,0.569620253164557,0.0,0.0,0.0
Canada,Joel Waterman,446,0,0,0,0,1.0,1.0,0,0,0.0,0.0,4.955555555555556,0.0,0.0,0.20179372197309417,0.20179372197309417,0.0,0.0,0.0,0.0
Canada,Jonathan David,3304,17,5,2,4,22.0,7.0,1,0,0.0,0.0,36.71111111111111,0.4630750605326877,0.13619854721549637,0.5992736077481841,0.19067796610169493,0.027239709443099277,0.0,0.0,0.0
Canada,Jonathan Osorio,2467,3,1,0,0,13.0,4.0,3,0,0.0,0.0,27.41111111111111,0.10944466963923793,0.03648155654641265,0.4742602351033644,0.1459262261856506,0.10944466963923793,0.0,0.0,0.0
