Country,Player,Mins,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
Croatia,Andrej Kramarić,3549,19,5,2,3,108.0,49.0,2,0,0.0,0.0,39.43333333333333,0.4818258664412511,0.1267962806424345,2.7387996618765853,1.2426035502958581,0.0507185122569738,0.0,0.0,0.0
Croatia,Ante Budimir,1434,5,2,1,1,40.0,17.0,6,0,0.0,0.0,15.933333333333334,0.3138075313807531,0.12552301255230125,2.510460251046025,1.0669456066945606,0.37656903765690375,0.0,0.0,0.0
Croatia,Ante Rebić,227,0,0,0,0,2.0,1.0,1,0,0.0,0.0,2.522222222222222,0.0,0.0,0.7929515418502203,0.39647577092511016,0.39647577092511016,0.0,0.0,0.0
Croatia,Antonio Čolak,5,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,Borna Barišić,1344,0,2,0,0,7.0,1.0,5,0,0.0,0.0,14.933333333333334,0.0,0.13392857142857142,0.46875,0.06696428571428571,0.33482142857142855,0.0,0.0,0.0
Croatia,Borna Sosa,1679,2,1,0,0,15.0,8.0,0,0,0.0,0.0,18.655555555555555,0.1072066706372841,0.05360333531864205,0.8040500297796308,0.4288266825491364,0.0,0.0,0.0,0.0
Croatia,Bruno Petković,1098,3,2,0,1,20.0,7.0,3,0,0.0,0.0,12.2,0.24590163934426232,0.1639344262295082,1.639344262295082,0.5737704918032788,0.24590163934426232,0.0,0.0,0.0
Croatia,Dario Melnjak,56,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.6222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,Dejan Lovren,1244,1,1,0,0,8.0,1.0,3,0,0.0,0.0,13.822222222222223,0.07234726688102894,0.07234726688102894,0.5787781350482315,0.07234726688102894,0.2170418006430868,0.0,0.0,0.0
Croatia,Dion Drena Beljo,56,0,0,0,0,7.0,5.0,0,0,0.0,0.0,0.6222222222222222,0.0,0.0,11.25,8.035714285714285,0.0,0.0,0.0,0.0
Croatia,Domagoj Bradarić,90,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,Domagoj Vida,1326,0,0,0,0,5.0,0.0,4,0,0.0,0.0,14.733333333333333,0.0,0.0,0.3393665158371041,0.0,0.2714932126696833,0.0,0.0,0.0
Croatia,Dominik Kotarski,180,0,0,0,0,0.0,0.0,0,0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
Croatia,Dominik Livaković,4635,0,1,0,0,0.0,0.0,4,1,44.0,116.0,51.5,0.0,0.019417475728155338,0.0,0.0,0.07766990291262135,0.019417475728155338,0.8543689320388349,2.2524271844660193
Croatia,Duje Ćaleta-Car,2125,1,1,0,0,16.0,6.0,8,1,0.0,0.0,23.61111111111111,0.042352941176470586,0.042352941176470586,0.6776470588235294,0.25411764705882356,0.3388235294117647,0.042352941176470586,0.0,0.0
Croatia,Franjo Ivanović,349,2,1,0,0,13.0,4.0,1,0,0.0,0.0,3.8777777777777778,0.5157593123209169,0.25787965616045844,3.35243553008596,1.0315186246418337,0.25787965616045844,0.0,0.0,0.0
Croatia,Igor Matanovic,290,1,0,0,0,20.0,7.0,0,0,0.0,0.0,3.2222222222222223,0.3103448275862069,0.0,6.206896551724138,2.1724137931034484,0.0,0.0,0.0,0.0
Croatia,Ivan Perišić,3490,11,12,0,0,98.0,37.0,5,0,0.0,0.0,38.77777777777778,0.2836676217765043,0.30945558739255014,2.5272206303724927,0.9541547277936963,0.12893982808022922,0.0,0.0,0.0
Croatia,Ivan Smolčić,11,0,0,0,0,1.0,1.0,0,0,0.0,0.0,0.12222222222222222,0.0,0.0,8.181818181818182,8.181818181818182,0.0,0.0,0.0,0.0
Croatia,Ivica Ivušić,360,0,0,0,0,0.0,0.0,0,0,4.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Croatia,Ivo Grbić,180,0,0,0,0,0.0,0.0,1,0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
Croatia,Josip Brekalo,667,1,1,0,0,7.0,2.0,0,0,0.0,0.0,7.411111111111111,0.13493253373313344,0.13493253373313344,0.944527736131934,0.2698650674662669,0.0,0.0,0.0,0.0
Croatia,Josip Juranović,2458,0,0,0,0,7.0,1.0,1,0,0.0,0.0,27.31111111111111,0.0,0.0,0.2563059397884459,0.036615134255492274,0.036615134255492274,0.0,0.0,0.0
Croatia,Josip Stanišić,1796,0,1,0,0,7.0,1.0,5,0,0.0,0.0,19.955555555555556,0.0,0.05011135857461024,0.3507795100222717,0.05011135857461024,0.2505567928730512,0.0,0.0,0.0
Croatia,Josip Šutalo,2580,0,0,0,0,7.0,3.0,0,0,0.0,0.0,28.666666666666668,0.0,0.0,0.2441860465116279,0.10465116279069767,0.0,0.0,0.0,0.0
Croatia,Joško Gvardiol,3414,3,1,0,0,21.0,11.0,4,0,0.0,0.0,37.93333333333333,0.07908611599297014,0.026362038664323375,0.5536028119507909,0.28998242530755713,0.1054481546572935,0.0,0.0,0.0
Croatia,Kristijan Jakić,699,1,1,0,0,6.0,2.0,1,0,0.0,0.0,7.766666666666667,0.12875536480686695,0.12875536480686695,0.7725321888412017,0.2575107296137339,0.12875536480686695,0.0,0.0,0.0
Croatia,Kristijan Lovrić,13,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.14444444444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,Lovro Majer,1488,6,5,0,1,34.0,15.0,0,0,0.0,0.0,16.533333333333335,0.36290322580645157,0.30241935483870963,2.0564516129032255,0.9072580645161289,0.0,0.0,0.0,0.0
Croatia,Luka Ivanušec,717,1,2,0,0,15.0,5.0,2,0,0.0,0.0,7.966666666666667,0.12552301255230125,0.2510460251046025,1.8828451882845187,0.6276150627615062,0.2510460251046025,0.0,0.0,0.0
Croatia,Luka Modrić,4127,12,8,6,8,64.0,27.0,3,0,0.0,0.0,45.855555555555554,0.26169130118730316,0.17446086745820208,1.3956869396656166,0.5888054276714321,0.06542282529682579,0.0,0.0,0.0
Croatia,Luka Sučić,639,1,0,0,0,17.0,8.0,1,0,0.0,0.0,7.1,0.14084507042253522,0.0,2.3943661971830985,1.1267605633802817,0.14084507042253522,0.0,0.0,0.0
Croatia,Luka Vušković,4,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.044444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,Marcelo Brozović,3261,0,0,0,0,29.0,9.0,8,0,0.0,0.0,36.233333333333334,0.0,0.0,0.8003679852805887,0.2483900643974241,0.22079116835326587,0.0,0.0,0.0
Croatia,Marco Pašalić,218,1,2,0,0,12.0,3.0,0,0,0.0,0.0,2.422222222222222,0.41284403669724773,0.8256880733944955,4.954128440366973,1.2385321100917432,0.0,0.0,0.0,0.0
Croatia,Marin Pongračić,838,0,0,0,0,4.0,1.0,3,0,0.0,0.0,9.311111111111112,0.0,0.0,0.4295942720763723,0.10739856801909307,0.3221957040572792,0.0,0.0,0.0
Croatia,Mario Pašalić,2701,9,4,0,0,52.0,21.0,2,0,0.0,0.0,30.011111111111113,0.2998889300259163,0.13328396890040725,1.7326915957052942,0.699740836727138,0.06664198445020363,0.0,0.0,0.0
Croatia,Marko Livaja,525,3,2,0,0,14.0,6.0,1,0,0.0,0.0,5.833333333333333,0.5142857142857143,0.34285714285714286,2.4,1.0285714285714287,0.17142857142857143,0.0,0.0,0.0
Croatia,Marko Pjaca,130,0,0,0,0,1.0,0.0,1,0,0.0,0.0,1.4444444444444444,0.0,0.0,0.6923076923076923,0.0,0.6923076923076923,0.0,0.0,0.0
Croatia,Martin Baturina,699,1,1,0,0,14.0,3.0,1,0,0.0,0.0,7.766666666666667,0.12875536480686695,0.12875536480686695,1.8025751072961373,0.38626609442060084,0.12875536480686695,0.0,0.0,0.0
Croatia,Martin Erlic,837,1,0,0,0,2.0,1.0,0,0,0.0,0.0,9.3,0.1075268817204301,0.0,0.2150537634408602,0.1075268817204301,0.0,0.0,0.0,0.0
Croatia,Mateo Kovačić,3285,2,1,0,0,31.0,10.0,7,0,0.0,0.0,36.5,0.0547945205479452,0.0273972602739726,0.8493150684931506,0.273972602739726,0.1917808219178082,0.0,0.0,0.0
Croatia,Milan Badelj,83,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.9222222222222223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,Mile Škorić,85,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,Mislav Oršić,724,2,3,0,0,19.0,5.0,0,0,0.0,0.0,8.044444444444444,0.24861878453038674,0.3729281767955801,2.361878453038674,0.6215469613259669,0.0,0.0,0.0,0.0
Croatia,Nediljko Labrović,10,0,0,0,0,0.0,0.0,0,0,3.0,3.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0
Croatia,Nikola Moro,162,0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Croatia,Nikola Vlašić,1534,2,1,0,0,42.0,14.0,1,0,0.0,0.0,17.044444444444444,0.11734028683181226,0.05867014341590613,2.4641460234680572,0.8213820078226858,0.05867014341590613,0.0,0.0,0.0
Croatia,Petar Musa,183,0,0,0,0,4.0,2.0,0,0,0.0,0.0,2.033333333333333,0.0,0.0,1.9672131147540985,0.9836065573770493,0.0,0.0,0.0,0.0
Croatia,Petar Sucic,746,1,1,0,0,10.0,2.0,4,1,0.0,0.0,8.28888888888889,0.12064343163538872,0.12064343163538872,1.2064343163538873,0.24128686327077745,0.4825737265415549,0.12064343163538872,0.0,0.0
Croatia,Toni Fruk,223,1,0,0,0,13.0,4.0,0,0,0.0,0.0,2.477777777777778,0.40358744394618834,0.0,5.246636771300448,1.6143497757847534,0.0,0.0,0.0,0.0
