Country,Date,Player,Pos,PKwon,OG,Save%,Pk SO scorer,GK PK SO saves,Mins,Gls,Ast,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
Korea Republic,2019-09-10,Hwang Ui-jo,FW,0.0,0,0.0,0.0,0.0,1798,8,3,1,1,1.0,0.0,0.0,0,0,23.0,0.0,19.977777777777778,0.40044493882091214,0.15016685205784205,0.05005561735261402,0.0,0.0,0.0,1.1512791991101223,0.0
Korea Republic,2019-09-10,Kim Shin-wook,FW,0.0,0,0.0,0.0,0.0,199,6,0,1,1,0.0,0.0,0.0,0,0,0.0,0.0,2.2111111111111112,2.7135678391959797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Korea Republic,2019-09-10,Son Heung-min,FW,0.0,0,0.0,0.0,0.0,4216,27,9,7,7,48.0,19.0,9.0,2,0,40.0,0.0,46.84444444444444,0.5763757115749526,0.19212523719165087,1.0246679316888045,0.40559772296015184,0.04269449715370019,0.0,0.8538899430740039,0.0
Korea Republic,2019-09-10,Na Sang-ho,FW,0.0,0,0.0,0.0,0.0,533,1,0,0,0,1.0,1.0,4.0,0,0,14.0,0.0,5.9222222222222225,0.16885553470919323,0.0,0.16885553470919323,0.16885553470919323,0.0,0.0,2.3639774859287055,0.0
Korea Republic,2019-09-10,Kwon Chang-hoon,"FW,MF",0.0,0,0.0,0.0,0.0,1108,7,1,0,1,0.0,0.0,1.0,2,0,14.0,0.0,12.311111111111112,0.5685920577617328,0.0812274368231047,0.0,0.0,0.1624548736462094,0.0,1.1371841155234657,0.0
Korea Republic,2019-09-10,Lee Jae-sung,CM,0.0,0,0.0,0.0,0.0,3525,6,7,0,0,16.0,6.0,28.0,3,0,35.0,0.0,39.166666666666664,0.15319148936170213,0.17872340425531916,0.4085106382978724,0.15319148936170213,0.07659574468085106,0.0,0.8936170212765958,0.0
Korea Republic,2019-09-10,Hwang In-beom,CM,0.0,0,0.0,0.0,0.0,3890,3,3,0,0,28.0,6.0,27.0,8,0,36.0,0.0,43.22222222222222,0.06940874035989718,0.06940874035989718,0.6478149100257069,0.13881748071979436,0.18508997429305912,0.0,0.8329048843187661,0.0
Korea Republic,2019-09-10,Jung Woo-young,DM,0.0,0,0.0,0.0,0.0,2160,1,2,0,0,1.0,0.0,7.0,8,0,21.0,0.0,24.0,0.041666666666666664,0.08333333333333333,0.041666666666666664,0.0,0.3333333333333333,0.0,0.875,0.0
Korea Republic,2019-09-10,Kim Jin-su,LB,0.0,0,0.0,0.0,0.0,2012,1,5,0,0,5.0,0.0,7.0,1,0,22.0,0.0,22.355555555555554,0.04473161033797217,0.22365805168986086,0.22365805168986086,0.0,0.04473161033797217,0.0,0.9840954274353877,0.0
Korea Republic,2019-09-10,Hong Chul,"DF,MF",0.0,0,0.0,0.0,0.0,889,0,2,0,0,0.0,0.0,0.0,1,0,8.0,0.0,9.877777777777778,0.0,0.20247469066366702,0.0,0.0,0.10123734533183351,0.0,0.8098987626546681,0.0
Korea Republic,2019-09-10,Kim Young-gwon,CB,0.0,0,0.0,0.0,0.0,2808,4,0,0,0,5.0,1.0,5.0,4,0,30.0,0.0,31.2,0.12820512820512822,0.0,0.16025641025641027,0.032051282051282055,0.12820512820512822,0.0,0.9615384615384616,0.0
Korea Republic,2019-09-10,Kim Min-jae,CB,0.0,0,0.0,0.0,0.0,3705,2,4,0,0,4.0,1.0,10.0,6,0,29.0,0.0,41.166666666666664,0.048582995951417005,0.09716599190283401,0.09716599190283401,0.024291497975708502,0.14574898785425103,0.0,0.7044534412955465,0.0
Korea Republic,2019-09-10,Lee Yong,RB,0.0,0,0.0,0.0,0.0,887,0,0,0,0,0.0,0.0,0.0,1,0,5.0,0.0,9.855555555555556,0.0,0.0,0.0,0.0,0.10146561443066515,0.0,0.5073280721533258,0.0
Korea Republic,2019-09-10,Kim Seung-gyu,GK,0.0,0,0.0,0.0,0.0,2880,0,0,0,0,0.0,0.0,0.0,0,0,15.0,7.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46875,0.21875
Korea Republic,2019-10-10,Hwang Hee-chan,FW,0.0,0,0.0,0.0,0.0,2624,13,6,2,2,14.0,7.0,1.0,4,0,25.0,0.0,29.155555555555555,0.44588414634146345,0.20579268292682928,0.4801829268292683,0.24009146341463414,0.13719512195121952,0.0,0.857469512195122,0.0
Korea Republic,2019-10-10,Lee Kang-in,CM,0.0,0,0.0,0.0,0.0,2535,10,11,0,0,43.0,18.0,16.0,4,0,30.0,0.0,28.166666666666668,0.35502958579881655,0.3905325443786982,1.5266272189349113,0.6390532544378698,0.14201183431952663,0.0,1.0650887573964496,0.0
Korea Republic,2019-10-10,Nam Tae-hee,CM,0.0,0,0.0,0.0,0.0,495,1,2,0,0,0.0,0.0,0.0,1,0,5.0,0.0,5.5,0.18181818181818182,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,0.9090909090909091,0.0
