Country,Date,Player,Pos,PKwon,OG,Save%,Pk SO scorer,GK PK SO saves,Mins,Gls,Ast,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
Mexico,2020-11-14,Raúl Jiménez,FW,0.0,0,0.0,0.0,0.0,2111,14,1,5,5,12.0,6.0,7.0,3,0,29.0,0.0,23.455555555555556,0.5968735196589294,0.04263382283278067,0.5116058739933681,0.25580293699668405,0.12790146849834202,0.0,1.2363808621506396,0.0
Mexico,2020-11-14,Hirving Lozano,FW,0.0,0,0.0,0.0,0.0,1612,4,2,0,0,6.0,3.0,7.0,3,0,21.0,0.0,17.91111111111111,0.22332506203473945,0.11166253101736973,0.3349875930521092,0.1674937965260546,0.1674937965260546,0.0,1.1724565756823822,0.0
Mexico,2020-11-14,Rodolfo Pizarro,"DF,FW",0.0,0,0.0,0.0,0.0,196,0,1,0,0,1.0,1.0,0.0,0,0,8.0,0.0,2.1777777777777776,0.0,0.4591836734693878,0.4591836734693878,0.4591836734693878,0.0,0.0,3.6734693877551026,0.0
Mexico,2020-11-14,Jesús Corona,FW,0.0,0,0.0,0.0,0.0,999,1,2,0,0,0.0,0.0,0.0,1,0,13.0,0.0,11.1,0.0900900900900901,0.1801801801801802,0.0,0.0,0.0900900900900901,0.0,1.1711711711711712,0.0
Mexico,2020-11-14,Uriel Antuna,"FW,MF",0.0,0,0.0,0.0,0.0,1983,7,5,1,1,18.0,6.0,19.0,5,0,37.0,0.0,22.033333333333335,0.3177004538577912,0.22692889561270801,0.8169440242057489,0.2723146747352496,0.22692889561270801,0.0,1.6792738275340393,0.0
Mexico,2020-11-14,Francisco Sebastián Córdova,CM,0.0,0,0.0,0.0,0.0,503,1,1,0,0,0.0,0.0,0.0,0,0,10.0,0.0,5.588888888888889,0.17892644135188868,0.17892644135188868,0.0,0.0,0.0,0.0,1.7892644135188869,0.0
Mexico,2020-11-14,Orbelín Pineda,"FW,MF",0.0,0,0.0,0.0,0.0,2034,6,6,3,4,21.0,7.0,10.0,0,0,40.0,0.0,22.6,0.2654867256637168,0.2654867256637168,0.9292035398230087,0.30973451327433627,0.0,0.0,1.7699115044247786,0.0
Mexico,2020-11-14,Charly Rodríguez,CM,0.0,0,0.0,0.0,0.0,1901,0,0,0,0,7.0,3.0,8.0,0,0,43.0,0.0,21.122222222222224,0.0,0.0,0.33140452393477116,0.14203051025775906,0.0,0.0,2.03577064702788,0.0
Mexico,2020-11-14,Edson Álvarez,DM,0.0,0,0.0,0.0,0.0,3125,2,1,0,0,15.0,6.0,21.0,11,0,37.0,0.0,34.72222222222222,0.0576,0.0288,0.432,0.1728,0.3168,0.0,1.0656,0.0
Mexico,2020-11-14,Jesús Gallardo,LB,0.0,0,0.0,0.0,0.0,3462,1,3,0,0,5.0,0.0,23.0,8,0,41.0,0.0,38.46666666666667,0.025996533795493933,0.0779896013864818,0.12998266897746966,0.0,0.20797227036395147,0.0,1.0658578856152512,0.0
Mexico,2020-11-14,Héctor Moreno,CB,0.0,0,0.0,0.0,0.0,1366,1,1,0,0,2.0,0.0,3.0,4,0,13.0,0.0,15.177777777777777,0.06588579795021962,0.06588579795021962,0.13177159590043924,0.0,0.2635431918008785,0.0,0.8565153733528551,0.0
Mexico,2020-11-14,Carlos Salcedo,CB,0.0,0,0.0,0.0,0.0,172,1,0,0,1,1.0,1.0,2.0,0,0,3.0,0.0,1.9111111111111112,0.5232558139534883,0.0,0.5232558139534883,0.5232558139534883,0.0,0.0,1.569767441860465,0.0
Mexico,2020-11-14,Néstor Araujo,DF,0.0,0,0.0,0.0,0.0,1634,0,0,0,0,0.0,0.0,1.0,4,1,22.0,0.0,18.155555555555555,0.0,0.0,0.0,0.0,0.22031823745410037,0.05507955936352509,1.211750305997552,0.0
Mexico,2020-11-14,Luis Alfonso Rodríguez,RB,0.0,0,0.0,0.0,0.0,578,0,0,0,0,0.0,0.0,2.0,3,0,6.0,0.0,6.4222222222222225,0.0,0.0,0.0,0.0,0.4671280276816609,0.0,0.9342560553633218,0.0
Mexico,2020-11-14,Jorge Eduardo Sánchez,"DF,MF",0.0,0,0.0,0.0,0.0,2768,1,1,0,0,10.0,2.0,26.0,6,0,29.0,0.0,30.755555555555556,0.03251445086705202,0.03251445086705202,0.32514450867052025,0.06502890173410404,0.19508670520231214,0.0,0.9429190751445087,0.0
Mexico,2020-11-14,Hugo González Durán,GK,0.0,0,0.0,0.0,0.0,90,0,0,0,0,0.0,0.0,0.0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Mexico,2024-06-08,Santiago Giménez,FW,0.0,0,0.0,0.0,0.0,1584,6,2,0,1,24.0,12.0,4.0,2,0,37.0,0.0,17.6,0.3409090909090909,0.11363636363636363,1.3636363636363635,0.6818181818181818,0.11363636363636363,0.0,2.102272727272727,0.0
Mexico,2024-06-08,Guillermo Martínez Ayala,FW,0.0,0,0.0,0.0,0.0,156,1,0,0,0,3.0,1.0,1.0,0,0,8.0,0.0,1.7333333333333334,0.5769230769230769,0.0,1.7307692307692306,0.5769230769230769,0.0,0.0,4.615384615384615,0.0
Mexico,2024-06-08,Julián Quiñones,FW,0.0,0,0.0,0.0,0.0,690,1,2,0,0,9.0,2.0,7.0,1,0,15.0,0.0,7.666666666666667,0.13043478260869565,0.2608695652173913,1.1739130434782608,0.2608695652173913,0.13043478260869565,0.0,1.9565217391304348,0.0
Mexico,2024-06-08,César Huerta,"FW,MF",0.0,0,0.0,0.0,0.0,674,3,1,0,0,7.0,2.0,4.0,2,0,23.0,0.0,7.488888888888889,0.40059347181008903,0.13353115727002968,0.9347181008902077,0.26706231454005935,0.26706231454005935,0.0,3.0712166172106823,0.0
Mexico,2024-06-08,Uriel Antuna,FW,0.0,0,0.0,0.0,0.0,1983,7,5,1,1,18.0,6.0,19.0,5,0,37.0,0.0,22.033333333333335,0.3177004538577912,0.22692889561270801,0.8169440242057489,0.2723146747352496,0.22692889561270801,0.0,1.6792738275340393,0.0
Mexico,2024-06-08,Jordi Cortizo,"FW,MF",0.0,0,0.0,0.0,0.0,76,0,0,0,0,0.0,0.0,1.0,1,0,8.0,0.0,0.8444444444444444,0.0,0.0,0.0,0.0,1.1842105263157894,0.0,9.473684210526315,0.0
Mexico,2024-06-08,Charly Rodríguez,CM,0.0,0,0.0,0.0,0.0,1901,0,0,0,0,7.0,3.0,8.0,0,0,43.0,0.0,21.122222222222224,0.0,0.0,0.33140452393477116,0.14203051025775906,0.0,0.0,2.03577064702788,0.0
Mexico,2024-06-08,Orbelín Pineda,"FW,MF",0.0,0,0.0,0.0,0.0,2034,6,6,3,4,21.0,7.0,10.0,0,0,40.0,0.0,22.6,0.2654867256637168,0.2654867256637168,0.9292035398230087,0.30973451327433627,0.0,0.0,1.7699115044247786,0.0
Mexico,2024-06-08,Luis Chávez,CM,0.0,0,0.0,0.0,0.0,2033,3,1,0,0,40.0,14.0,12.0,3,0,20.0,0.0,22.58888888888889,0.13280865715691098,0.04426955238563699,1.7707820954254796,0.6197737333989178,0.13280865715691098,0.0,0.8853910477127398,0.0
Mexico,2024-06-08,Alexis Vega,"FW,MF",0.0,0,0.0,0.0,0.0,2044,6,3,1,1,17.0,7.0,12.0,5,0,39.0,0.0,22.711111111111112,0.26418786692759294,0.13209393346379647,0.74853228962818,0.3082191780821918,0.22015655577299412,0.0,1.717221135029354,0.0
