Country,Date,Player,Pos,PKwon,OG,Save%,Pk SO scorer,GK PK SO saves,Mins,Gls,Ast,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,GA,Saves,Total 90s,Gls_per_90,Ast_per_90,Shots_per_90,SoT_per_90,CrdY_per_90,CrdR_per_90,GA_per_90,Saves_per_90
United States,2024-06-12,Ricardo Pepi,FW,0.0,0,0.0,0.0,0.0,234,0,0,0,0,0.0,0.0,0.0,0,0,5.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.923076923076923,0.0
United States,2024-06-12,Folarin Balogun,FW,0.0,0,0.0,0.0,0.0,108,0,0,0,0,0.0,0.0,0.0,1,0,3.0,0.0,1.2,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,2.5,0.0
United States,2024-06-12,Christian Pulisic,FW,0.0,0,0.0,0.0,0.0,465,2,0,0,0,0.0,0.0,0.0,0,0,6.0,0.0,5.166666666666667,0.3870967741935484,0.0,0.0,0.0,0.0,0.0,1.161290322580645,0.0
United States,2024-06-12,Timothy Weah,FW,0.0,0,0.0,0.0,0.0,222,0,1,0,0,0.0,0.0,0.0,1,0,1.0,0.0,2.466666666666667,0.0,0.4054054054054054,0.0,0.0,0.4054054054054054,0.0,0.4054054054054054,0.0
United States,2024-06-12,Brenden Aaronson,"FW,MF",0.0,0,0.0,0.0,0.0,405,1,0,0,0,0.0,0.0,1.0,0,0,10.0,0.0,4.5,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,0.0
United States,2024-06-12,Weston McKennie,CM,0.0,0,0.0,0.0,0.0,270,1,0,0,0,0.0,0.0,0.0,1,0,3.0,0.0,3.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,0.0
United States,2024-06-12,Gio Reyna,CM,0.0,0,0.0,0.0,0.0,95,0,0,0,0,0.0,0.0,0.0,0,0,1.0,0.0,1.0555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.9473684210526315,0.0
United States,2024-06-12,Johnny Cardoso,MF,0.0,0,0.0,0.0,0.0,87,0,0,0,0,0.0,0.0,0.0,0,0,3.0,0.0,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,3.103448275862069,0.0
United States,2024-06-12,Yunus Musah,DM,0.0,0,0.0,0.0,0.0,436,0,0,0,0,0.0,0.0,0.0,0,0,7.0,0.0,4.844444444444444,0.0,0.0,0.0,0.0,0.0,0.0,1.444954128440367,0.0
United States,2024-06-12,Tyler Adams,MF,0.0,0,0.0,0.0,0.0,423,0,0,0,0,0.0,0.0,1.0,2,0,6.0,0.0,4.7,0.0,0.0,0.0,0.0,0.425531914893617,0.0,1.276595744680851,0.0
United States,2024-06-12,Antonee Robinson,LB,0.0,0,0.0,0.0,0.0,495,0,1,0,0,0.0,0.0,0.0,0,0,6.0,0.0,5.5,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,1.0909090909090908,0.0
United States,2024-06-12,Tim Ream,CB,0.0,0,0.0,0.0,0.0,360,0,0,0,0,0.0,0.0,0.0,0,0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0
United States,2024-06-12,Chris Richards,CB,0.0,0,0.0,0.0,0.0,361,1,0,0,0,1.0,1.0,2.0,0,0,7.0,0.0,4.011111111111111,0.24930747922437674,0.0,0.24930747922437674,0.24930747922437674,0.0,0.0,1.745152354570637,0.0
United States,2024-06-12,Joe Scally,RB,0.0,0,0.0,0.0,0.0,264,0,0,0,0,0.0,0.0,0.0,0,0,5.0,0.0,2.933333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.7045454545454546,0.0
United States,2024-06-12,Shaq Moore,"DF,MF",0.0,0,0.0,0.0,0.0,63,1,0,0,0,2.0,1.0,1.0,0,0,1.0,0.0,0.7,1.4285714285714286,0.0,2.857142857142857,1.4285714285714286,0.0,0.0,1.4285714285714286,0.0
United States,2024-06-12,Matt Turner,GK,0.0,0,0.0,0.0,0.0,570,0,0,0,0,0.0,0.0,0.0,0,0,8.0,3.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.2631578947368423,0.4736842105263158
United States,2021-07-18,Daryl Dike,FW,0.0,0,0.0,0.0,0.0,90,0,0,0,0,2.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
United States,2021-07-18,Gyasi Zardes,FW,0.0,0,0.0,0.0,0.0,142,0,0,0,0,1.0,0.0,0.0,0,0,2.0,0.0,1.5777777777777777,0.0,0.0,0.6338028169014085,0.0,0.0,0.0,1.267605633802817,0.0
United States,2021-07-18,Matthew Hoppe,FW,0.0,0,0.0,0.0,0.0,16,0,0,0,0,0.0,0.0,2.0,0,0,0.0,0.0,0.17777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
