Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Brazil,2020-10-09,Neymar,90,Bolivia,FW,0,2,,0,0,6,2,0,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Roberto Firmino,70,Bolivia,FW,2,0,,0,0,2,2,1,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Richarlison,20,Bolivia,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Everton Soares,58,Bolivia,FW,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Rodrygo,32,Bolivia,"FW,MF",0,0,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Douglas Luiz,90,Bolivia,CM,0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Casemiro,90,Bolivia,CM,0,0,,0,0,1,1,2,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Philippe Coutinho,76,Bolivia,CM,1,0,,0,0,3,2,2,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Everton Ribeiro,14,Bolivia,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Renan Lodi,76,Bolivia,LB,0,1,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Alex Telles,14,Bolivia,DF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Thiago Silva,70,Bolivia,CB,0,0,,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Felipe,20,Bolivia,DF,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Marquinhos,90,Bolivia,CB,1,0,,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Danilo,90,Bolivia,RB,0,1,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Wéverton,90,Bolivia,GK,0,0,,0,0,0,0,0,0,0,0,0,1,100.0,0,NA,0
Brazil,2020-10-13,Neymar,90,Peru,FW,3,0,,2,2,5,4,2,0,0,0,2,NA,NA,NA,NA,NA
