Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Canada,2021-03-25,Lucas Cavallini,69,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Liam Millar,21,"DF,FW",0,1,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Alphonso Davies,90,AM,0,3,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Cyle Larin,90,AM,3,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Junior Hoilett,76,AM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Theo Corbeanu,14,"FW,MF",1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Stephen Eustáquio,76,DM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Samuel Piette,14,MF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Atiba Hutchinson,90,DM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Sam Adekugbe,76,LB,0,1,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,David Wotherspoon,14,MF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Kamal Miller,90,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Steven Vitória,90,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Richie Laryea,68,RB,1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Alistair Johnston,22,"DF,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Canada,2021-03-25,Milan Borjan,90,GK,0,0,,0,0,,,,0,0,0,1,,,0,NA,0
Canada,2021-03-29,Cyle Larin,59,FW,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Lucas Cavallini,31,FW,3,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Liam Millar,59,AM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Sam Adekugbe,31,"DF,MF",0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Mark-Anthony Kaye,90,AM,2,1,,0,1,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Theo Corbeanu,60,AM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Junior Hoilett,30,"FW,MF",0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,David Wotherspoon,90,DM,1,3,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Samuel Piette,67,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Stephen Eustáquio,23,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Alphonso Davies,90,LB,2,0,,1,1,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Frank Sturing,90,CB,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Ricardo Ferreira,90,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Alistair Johnston,67,RB,1,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Richie Laryea,23,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-03-29,Maxime Crépeau,90,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Canada,2021-06-05,Lucas Cavallini,72,FW,2,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-05,Cyle Larin,18,"FW,MF",1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-05,Liam Millar,45,AM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-05,Theo Corbeanu,45,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-05,Mark-Anthony Kaye,90,AM,0,2,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-05,Junior Hoilett,33,AM,1,0,,1,1,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-05,Zachary Brault-Guillard,57,"DF,MF",1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-05,David Wotherspoon,65,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-05,Jonathan David,25,"FW,MF",1,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-05,Tajon Buchanan,90,DM,0,2,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-05,Sam Adekugbe,65,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Canada,2021-06-05,Alphonso Davies,25,"DF,FW",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
