Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Colombia,2020-10-09,Luis Muriel,58,FW,2,0,,0,0,2,2,1,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Frank Fabra,32,DF,0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Duván Zapata,73,FW,1,0,,0,0,2,2,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Radamel Falcao,17,FW,0,0,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,James Rodríguez,73,FW,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Steven Alzate,17,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Jefferson Lerma,90,CM,0,0,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Wílmar Barrios,90,CM,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Juan Cuadrado,58,CM,0,1,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Alfredo Morelos,32,FW,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Johan Mojica,90,LB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Davinson Sánchez,90,CB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Yerry Mina,90,CB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Santiago Arias,12,RB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Stefan Medina,78,DF,0,0,,0,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA
Colombia,2020-10-09,Camilo Vargas,90,GK,0,1,,0,0,0,0,0,0,0,0,0,3,100.0,0,NA,0
Colombia,2020-10-13,Luis Muriel,50,FW,0,0,,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA
Colombia,2020-10-13,Alfredo Morelos,40,FW,0,0,,0,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA
