Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Croatia,2021-03-24,Ivan Perišić,90,Slovenia,FW,0,0,,0,0,1,1,0,0,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Nikola Vlašić,68,Slovenia,AM,0,0,,0,0,1,1,1,0,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Ante Budimir,22,Slovenia,FW,0,0,,0,0,1,0,0,1,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Luka Modrić,90,Slovenia,AM,0,0,,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Andrej Kramarić,63,Slovenia,AM,0,0,,0,0,2,0,0,0,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Josip Brekalo,27,Slovenia,"FW,MF",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Mateo Kovačić,81,Slovenia,DM,0,0,,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Mario Pašalić,9,Slovenia,"FW,MF",0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Marcelo Brozović,90,Slovenia,DM,0,0,,0,0,0,0,2,1,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Borna Barišić,45,Slovenia,LB,0,0,,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Mislav Oršić,45,Slovenia,"FW,MF",0,0,,0,0,2,1,0,0,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Domagoj Vida,90,Slovenia,CB,0,0,,0,0,2,0,0,1,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Dejan Lovren,90,Slovenia,CB,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Šime Vrsaljko,90,Slovenia,RB,0,0,,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA
Croatia,2021-03-24,Dominik Livaković,90,Slovenia,GK,0,0,,0,0,0,0,0,0,0,0,1,3,75.0,0,NA,0
Croatia,2021-03-27,Ante Budimir,56,Cyprus,FW,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Croatia,2021-03-27,Andrej Kramarić,34,Cyprus,"FW,MF",0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA
Croatia,2021-03-27,Ivan Perišić,75,Cyprus,LW,0,0,,0,0,1,1,0,1,0,0,0,NA,NA,NA,NA,NA
Croatia,2021-03-27,Mateo Kovačić,15,Cyprus,MF,0,0,,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Croatia,2021-03-27,Mario Pašalić,65,Cyprus,AM,1,0,,0,0,4,1,0,0,0,0,0,NA,NA,NA,NA,NA
Croatia,2021-03-27,Mislav Oršić,25,Cyprus,"FW,MF",0,0,,0,0,2,0,1,0,0,0,0,NA,NA,NA,NA,NA
Croatia,2021-03-27,Luka Modrić,90,Cyprus,AM,0,0,,0,0,3,0,1,0,0,0,0,NA,NA,NA,NA,NA
Croatia,2021-03-27,Josip Brekalo,65,Cyprus,RW,0,0,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
Croatia,2021-03-27,Nikola Vlašić,25,Cyprus,"FW,MF",0,0,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
Croatia,2021-03-27,Marcelo Brozović,90,Cyprus,DM,0,0,,0,0,1,0,2,0,0,0,0,NA,NA,NA,NA,NA
Croatia,2021-03-27,Borna Barišić,90,Cyprus,LB,0,0,,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA
Croatia,2021-03-27,Duje Ćaleta-Car,90,Cyprus,CB,0,0,,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
