Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
England,2021-03-25,Dominic Calvert-Lewin,62,San Marino,FW,2,0,,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Ollie Watkins,28,San Marino,"FW,MF",1,0,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Raheem Sterling,45,San Marino,AM,1,0,,0,0,7,1,1,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Phil Foden,45,San Marino,"FW,MF",0,1,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Mason Mount,45,San Marino,AM,0,1,,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Jude Bellingham,45,San Marino,MF,0,0,,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Jesse Lingard,90,San Marino,AM,0,1,,0,0,10,5,1,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,James Ward-Prowse,90,San Marino,DM,1,0,,0,0,2,2,1,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Kalvin Phillips,90,San Marino,DM,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Ben Chilwell,90,San Marino,LB,0,1,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,John Stones,45,San Marino,CB,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Tyrone Mings,45,San Marino,DF,0,0,,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Conor Coady,90,San Marino,CB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Reece James,45,San Marino,RB,0,1,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Kieran Trippier,45,San Marino,"DF,MF",0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Nick Pope,90,San Marino,GK,0,0,,0,0,0,0,0,0,0,0,0,0,,0,NA,0
England,2021-03-28,Mason Mount,90,Albania,FW,1,0,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Harry Kane,90,Albania,FW,1,1,,0,0,5,1,1,1,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Raheem Sterling,90,Albania,FW,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Kalvin Phillips,70,Albania,CM,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,James Ward-Prowse,20,Albania,MF,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Declan Rice,90,Albania,CM,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Phil Foden,80,Albania,CM,0,0,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Jesse Lingard,10,Albania,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Luke Shaw,90,Albania,LB,0,1,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,John Stones,90,Albania,CB,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Harry Maguire,90,Albania,CB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Kyle Walker,90,Albania,RB,0,0,,0,0,1,1,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Nick Pope,90,Albania,GK,0,0,,0,0,0,0,0,0,0,0,0,0,,0,NA,0
England,2021-03-31,Raheem Sterling,89,Poland,FW,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Jesse Lingard,1,Poland,"FW,MF",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Harry Kane,88,Poland,FW,1,0,,1,1,2,2,1,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Dominic Calvert-Lewin,2,Poland,"FW,MF",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Mason Mount,90,Poland,FW,0,0,,0,0,3,0,1,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Phil Foden,85,Poland,CM,0,0,,0,0,3,1,0,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Reece James,5,Poland,"DF,MF",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Declan Rice,90,Poland,CM,0,0,,0,0,0,0,4,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Kalvin Phillips,90,Poland,CM,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Ben Chilwell,90,Poland,LB,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,John Stones,90,Poland,CB,0,1,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Harry Maguire,90,Poland,CB,1,0,,0,0,1,1,1,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Kyle Walker,90,Poland,RB,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
England,2021-03-31,Nick Pope,90,Poland,GK,0,0,,0,0,0,0,0,0,0,0,1,0,0.0,0,NA,0
England,2021-06-02,Harry Kane,60,Austria,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Dominic Calvert-Lewin,30,Austria,"FW,MF",0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Bukayo Saka,90,Austria,FW,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Jesse Lingard,60,Austria,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Ollie Watkins,30,Austria,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Jude Bellingham,90,Austria,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Jack Grealish,70,Austria,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Ben White,20,Austria,DF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Declan Rice,61,Austria,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,James Ward-Prowse,29,Austria,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Kieran Trippier,90,Austria,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Tyrone Mings,61,Austria,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Ben Godfrey,29,Austria,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Conor Coady,90,Austria,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Trent Alexander-Arnold,90,Austria,RB,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
England,2021-06-02,Jordan Pickford,90,Austria,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
England,2021-06-06,Dominic Calvert-Lewin,81,Romania,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Ollie Watkins,9,Romania,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Jadon Sancho,64,Romania,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Jude Bellingham,26,Romania,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Marcus Rashford,74,Romania,FW,1,0,,1,1,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-06,Jesse Lingard,16,Romania,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
England,2021-06-06,James Ward-Prowse,64,Romania,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
