Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
France,2021-03-24,Olivier Giroud,62,Ukraine,FW,0,0,,0,0,2,0,0,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Paul Pogba,28,Ukraine,MF,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Antoine Griezmann,90,Ukraine,FW,1,0,,0,0,3,1,0,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Kylian Mbappé,76,Ukraine,LW,0,0,,0,0,4,0,0,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Anthony Martial,14,Ukraine,"FW,MF",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Kingsley Coman,62,Ukraine,RW,0,0,,0,0,2,1,0,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Ousmane Dembélé,28,Ukraine,"FW,MF",0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Adrien Rabiot,90,Ukraine,CM,0,0,,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,N'Golo Kanté,90,Ukraine,CM,0,0,,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Lucas Hernández,90,Ukraine,LB,0,0,,0,0,2,0,2,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Presnel Kimpembe,90,Ukraine,CB,0,0,,0,0,1,1,2,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Raphaël Varane,90,Ukraine,CB,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Benjamin Pavard,90,Ukraine,RB,0,0,,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA
France,2021-03-24,Hugo Lloris,90,Ukraine,GK,0,0,,0,0,0,0,0,0,0,0,1,0,0.0,0,NA,0
France,2021-03-28,Ousmane Dembélé,89,Kazakhstan,FW,1,0,,0,0,2,2,0,1,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Kingsley Coman,1,Kazakhstan,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Anthony Martial,58,Kazakhstan,AM,0,1,,0,0,3,2,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Kylian Mbappé,32,Kazakhstan,"FW,MF",0,0,,0,1,3,3,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Antoine Griezmann,58,Kazakhstan,AM,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Wissam Ben Yedder,32,Kazakhstan,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Thomas Lemar,90,Kazakhstan,AM,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Tanguy Ndombele,81,Kazakhstan,DM,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Moussa Sissoko,9,Kazakhstan,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Paul Pogba,58,Kazakhstan,DM,0,0,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Adrien Rabiot,32,Kazakhstan,MF,0,0,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Lucas Digne,90,Kazakhstan,LB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Clément Lenglet,90,Kazakhstan,CB,0,0,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Kurt Zouma,90,Kazakhstan,CB,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Leo Dubois,90,Kazakhstan,RB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-28,Hugo Lloris,90,Kazakhstan,GK,0,0,,0,0,0,0,0,0,0,0,0,0,100.0,0,NA,0
France,2021-03-31,Thomas Lemar,89,Bosnia and Herzegovina,FW,0,0,,0,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Moussa Sissoko,1,Bosnia and Herzegovina,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Kylian Mbappé,90,Bosnia and Herzegovina,FW,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Paul Pogba,90,Bosnia and Herzegovina,LM,0,0,,0,0,0,0,2,1,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Adrien Rabiot,90,Bosnia and Herzegovina,CM,0,1,,0,0,1,0,3,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Antoine Griezmann,90,Bosnia and Herzegovina,CM,1,0,,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Kingsley Coman,58,Bosnia and Herzegovina,RM,0,0,,0,0,2,1,1,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Olivier Giroud,32,Bosnia and Herzegovina,FW,0,0,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Benjamin Pavard,90,Bosnia and Herzegovina,LB,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Raphaël Varane,90,Bosnia and Herzegovina,CB,0,0,,0,0,2,0,1,1,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Presnel Kimpembe,90,Bosnia and Herzegovina,CB,0,0,,0,0,1,0,3,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Lucas Hernández,90,Bosnia and Herzegovina,RB,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
France,2021-03-31,Hugo Lloris,90,Bosnia and Herzegovina,GK,0,0,,0,0,0,0,0,0,0,0,0,2,100.0,0,NA,0
France,2021-06-02,Karim Benzema,90,Wales,FW,0,1,,0,1,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Kylian Mbappé,72,Wales,FW,1,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Ousmane Dembélé,18,Wales,"FW,MF",1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Antoine Griezmann,83,Wales,FW,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Wissam Ben Yedder,7,Wales,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Adrien Rabiot,90,Wales,CM,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Paul Pogba,62,Wales,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Kingsley Coman,28,Wales,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Corentin Tolisso,63,Wales,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Moussa Sissoko,27,Wales,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Lucas Hernández,45,Wales,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Lucas Digne,45,Wales,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Presnel Kimpembe,90,Wales,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Raphaël Varane,90,Wales,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Benjamin Pavard,45,Wales,RB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Jules Koundé,45,Wales,DF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-02,Hugo Lloris,90,Wales,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
France,2021-06-08,Kylian Mbappé,83,Bulgaria,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Wissam Ben Yedder,7,Bulgaria,"FW,MF",0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Karim Benzema,40,Bulgaria,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Olivier Giroud,50,Bulgaria,FW,2,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Antoine Griezmann,64,Bulgaria,AM,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Ousmane Dembélé,26,Bulgaria,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Paul Pogba,90,Bulgaria,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,N'Golo Kanté,64,Bulgaria,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Thomas Lemar,26,Bulgaria,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Corentin Tolisso,83,Bulgaria,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Moussa Sissoko,7,Bulgaria,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Lucas Hernández,45,Bulgaria,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Lucas Digne,45,Bulgaria,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Presnel Kimpembe,90,Bulgaria,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Raphaël Varane,90,Bulgaria,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Benjamin Pavard,90,Bulgaria,RB,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-08,Hugo Lloris,90,Bulgaria,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
France,2021-06-15,Karim Benzema,88,Germany,FW,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,Corentin Tolisso,2,Germany,CM,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,Kylian Mbappé,90,Germany,"LW,FW",0,0,0,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,Antoine Griezmann,90,Germany,"RW,FW",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,Adrien Rabiot,89,Germany,LM,0,0,0,0,0,1,0,2,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,Ousmane Dembélé,1,Germany,LM,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,N'Golo Kanté,90,Germany,CM,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,Paul Pogba,90,Germany,RM,0,0,0,0,0,1,0,2,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,Lucas Hernández,90,Germany,LB,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,Presnel Kimpembe,90,Germany,CB,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,Raphaël Varane,90,Germany,CB,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,Benjamin Pavard,90,Germany,RB,0,0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,NA,NA
France,2021-06-15,Hugo Lloris,90,Germany,GK,0,0,0,0,0,0,0,1,0,0,0,0,1,100.0,0,NA,0
Germany,2021-06-15,Serge Gnabry,73,France,FW,0,0,0,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-15,Timo Werner,17,France,FW,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-15,Thomas Müller,90,France,AM,0,0,0,0,0,2,0,0,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-15,Kai Havertz,73,France,AM,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-15,Leroy Sané,17,France,AM,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Germany,2021-06-15,Toni Kroos,90,France,CM,0,0,0,0,0,2,0,7,0,0,0,1,NA,NA,NA,NA,NA
