Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Germany,2021-03-25,Leroy Sané,78,Iceland,FW,0,1,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Timo Werner,12,Iceland,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Kai Havertz,78,Iceland,FW,1,0,,0,0,2,1,1,1,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Jamal Musiala,12,Iceland,"FW,MF",0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Serge Gnabry,85,Iceland,FW,0,1,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Amin Younes,5,Iceland,"FW,MF",0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,İlkay Gündoğan,90,Iceland,CM,1,0,,0,0,2,1,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Joshua Kimmich,90,Iceland,CM,0,0,,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Leon Goretzka,70,Iceland,CM,1,0,,0,0,5,2,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Florian Neuhaus,20,Iceland,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Emre Can,90,Iceland,LB,0,0,,0,0,0,0,3,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Matthias Ginter,90,Iceland,CB,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Antonio Rüdiger,90,Iceland,CB,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Germany,2021-03-25,Lukas Klostermann,90,Iceland,RB,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
