Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Japan,2019-09-10,Takumi Minamino,76,Myanmar,FW,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Musashi Suzuki,14,Myanmar,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Hiroki Sakai,90,Myanmar,AM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Yuya Osako,90,Myanmar,AM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Ritsu Doan,65,Myanmar,AM,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Junya Ito,25,Myanmar,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Shoya Nakajima,80,Myanmar,DM,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Takefusa Kubo,10,Myanmar,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Kento Hashimoto,90,Myanmar,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Yuto Nagatomo,90,Myanmar,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Maya Yoshida,90,Myanmar,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Gaku Shibasaki,90,Myanmar,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Takehiro Tomiyasu,90,Myanmar,RB,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-09-10,Shūichi Gonda,90,Myanmar,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Japan,2019-10-10,Kensuke Nagai,69,Mongolia,FW,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Genki Haraguchi,21,Mongolia,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Shoya Nakajima,90,Mongolia,AM,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Takumi Minamino,60,Mongolia,AM,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Daichi Kamada,30,Mongolia,"FW,MF",1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Junya Ito,90,Mongolia,AM,0,3,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Gaku Shibasaki,90,Mongolia,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Wataru Endo,90,Mongolia,DM,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Yuto Nagatomo,90,Mongolia,LB,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Maya Yoshida,90,Mongolia,CB,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Takehiro Tomiyasu,90,Mongolia,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Hiroki Sakai,56,Mongolia,RB,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Koki Anzai,34,Mongolia,DF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-10,Shūichi Gonda,90,Mongolia,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Japan,2019-10-15,Daichi Kamada,79,Tajikistan,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Kensuke Nagai,11,Tajikistan,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Takumi Minamino,86,Tajikistan,FW,2,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Takefusa Kubo,4,Tajikistan,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Shoya Nakajima,62,Tajikistan,LW,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Takuma Asano,28,Tajikistan,"FW,MF",1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Ritsu Doan,90,Tajikistan,RW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Kento Hashimoto,90,Tajikistan,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Gaku Shibasaki,90,Tajikistan,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Yuto Nagatomo,90,Tajikistan,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Maya Yoshida,90,Tajikistan,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Naomichi Ueda,90,Tajikistan,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Hiroki Sakai,90,Tajikistan,RB,0,2,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-10-15,Shūichi Gonda,90,Tajikistan,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Japan,2019-11-14,Kensuke Nagai,86,Kyrgyz Republic,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Musashi Suzuki,4,Kyrgyz Republic,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Genki Haraguchi,90,Kyrgyz Republic,AM,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Takumi Minamino,90,Kyrgyz Republic,AM,1,0,,1,1,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Junya Ito,77,Kyrgyz Republic,AM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Shoya Nakajima,13,Kyrgyz Republic,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Wataru Endo,77,Kyrgyz Republic,DM,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Hotaru Yamaguchi,13,Kyrgyz Republic,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Gaku Shibasaki,90,Kyrgyz Republic,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Yuto Nagatomo,90,Kyrgyz Republic,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Maya Yoshida,90,Kyrgyz Republic,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Naomichi Ueda,90,Kyrgyz Republic,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Hiroki Sakai,90,Kyrgyz Republic,RB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Japan,2019-11-14,Shūichi Gonda,90,Kyrgyz Republic,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Japan,2019-11-19,Musashi Suzuki,45,Venezuela,FW,0,0,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Kyogo Furuhashi,45,Venezuela,"FW,MF",0,0,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Takuma Asano,64,Venezuela,FW,0,0,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Kensuke Nagai,26,Venezuela,"FW,MF",0,1,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Shoya Nakajima,90,Venezuela,LW,0,0,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Genki Haraguchi,81,Venezuela,RW,0,0,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Yosuke Ideguchi,9,Venezuela,MF,0,0,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Gaku Shibasaki,90,Venezuela,CM,0,0,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Kento Hashimoto,64,Venezuela,CM,0,0,,0,0,,,,1,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Hotaru Yamaguchi,26,Venezuela,MF,1,0,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Sho Sasaki,90,Venezuela,LB,0,0,,0,0,,,,1,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Shinnosuke Hatanaka,90,Venezuela,CB,0,0,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Naomichi Ueda,45,Venezuela,CB,0,0,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
Japan,2019-11-19,Genta Miura,45,Venezuela,DF,0,0,,0,0,,,,0,0,0,4,NA,NA,NA,NA,NA
