Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Korea Republic,2019-09-10,Hwang Ui-jo,80,Turkmenistan,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Kim Shin-wook,10,Turkmenistan,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Son Heung-min,90,Turkmenistan,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Na Sang-ho,65,Turkmenistan,FW,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Kwon Chang-hoon,25,Turkmenistan,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Lee Jae-sung,90,Turkmenistan,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Hwang In-beom,90,Turkmenistan,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Jung Woo-young,90,Turkmenistan,DM,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Kim Jin-su,84,Turkmenistan,LB,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Hong Chul,6,Turkmenistan,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Kim Young-gwon,90,Turkmenistan,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Kim Min-jae,90,Turkmenistan,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Lee Yong,90,Turkmenistan,RB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-09-10,Kim Seung-gyu,90,Turkmenistan,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Korea Republic,2019-10-10,Kim Shin-wook,90,Sri Lanka,FW,4,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Son Heung-min,61,Sri Lanka,FW,2,1,,1,1,,,,1,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Kwon Chang-hoon,29,Sri Lanka,"FW,MF",1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Hwang Hee-chan,90,Sri Lanka,FW,1,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Lee Kang-in,90,Sri Lanka,CM,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Nam Tae-hee,75,Sri Lanka,CM,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Lee Donggyeong,15,Sri Lanka,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Paik Seung-ho,90,Sri Lanka,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Hong Chul,90,Sri Lanka,LB,0,2,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Kwon Kyung-won,90,Sri Lanka,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Kim Min-jae,68,Sri Lanka,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Park Ji-soo,22,Sri Lanka,DF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Kim Moonhwan,90,Sri Lanka,RB,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-10-10,Jo Hyeon-woo,90,Sri Lanka,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Korea Republic,2019-11-14,Son Heung-min,90,Lebanon,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Hwang Ui-jo,90,Lebanon,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Nam Tae-hee,62,Lebanon,LW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Kim Shin-wook,28,Lebanon,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Lee Jae-sung,79,Lebanon,RW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Lee Kang-in,11,Lebanon,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Hwang In-beom,45,Lebanon,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Hwang Hee-chan,45,Lebanon,"FW,MF",0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Kim Min-jae,90,Lebanon,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Kim Young-gwon,90,Lebanon,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Kim Jin-su,90,Lebanon,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Jung Woo-young,90,Lebanon,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Lee Yong,90,Lebanon,RB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Korea Republic,2019-11-14,Kim Seung-gyu,90,Lebanon,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Brazil,2019-11-19,Richarlison,90,Korea Republic,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Philippe Coutinho,90,Korea Republic,FW,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Gabriel Jesus,87,Korea Republic,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Rodrygo,3,Korea Republic,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Lucas Paquetá,83,Korea Republic,CM,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Roberto Firmino,7,Korea Republic,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Arthur Melo,79,Korea Republic,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Douglas Luiz,11,Korea Republic,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Fabinho,90,Korea Republic,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Renan Lodi,86,Korea Republic,LB,0,2,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Emerson,4,Korea Republic,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Éder Militão,90,Korea Republic,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Marquinhos,90,Korea Republic,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Danilo,90,Korea Republic,RB,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Alisson,90,Korea Republic,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Korea Republic,2019-11-19,Hwang Ui-jo,90,Brazil,FW,0,0,,0,0,,,,0,0,0,3,NA,NA,NA,NA,NA
Korea Republic,2019-11-19,Son Heung-min,90,Brazil,AM,0,0,,0,0,,,,0,0,0,3,NA,NA,NA,NA,NA
