Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Mexico,2021-09-02,Rogelio Funes Mori,89,Jamaica,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Charly Rodríguez,1,Jamaica,MF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Alexis Vega,80,Jamaica,AM,1,0,,0,0,,,,1,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Henry Martín,10,Jamaica,FW,1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Francisco Sebastián Córdova,74,Jamaica,AM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Orbelín Pineda,16,Jamaica,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Roberto Alvarado,74,Jamaica,AM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Uriel Antuna,16,Jamaica,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Edson Álvarez,90,Jamaica,DM,0,0,,0,0,,,,1,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Luis Romo,89,Jamaica,DM,0,1,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Andrés Guardado,1,Jamaica,"DF,FW",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Jesús Gallardo,90,Jamaica,LB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Néstor Araujo,90,Jamaica,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,César Montes,90,Jamaica,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Jorge Eduardo Sánchez,90,Jamaica,RB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-02,Guillermo Ochoa,90,Jamaica,GK,0,0,,0,0,,,,0,0,0,1,,,0,NA,0
Mexico,2021-09-05,Rogelio Funes Mori,70,Costa Rica,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Henry Martín,20,Costa Rica,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Alexis Vega,40,Costa Rica,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Orbelín Pineda,50,Costa Rica,"FW,MF",1,0,,1,1,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Jesús Corona,70,Costa Rica,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Roberto Alvarado,20,Costa Rica,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Andrés Guardado,75,Costa Rica,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Luis Romo,15,Costa Rica,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Charly Rodríguez,90,Costa Rica,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Edson Álvarez,90,Costa Rica,DM,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Jesús Gallardo,90,Costa Rica,LB,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Néstor Araujo,90,Costa Rica,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,César Montes,90,Costa Rica,CB,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Julio Domínguez,90,Costa Rica,RB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-09-05,Guillermo Ochoa,90,Costa Rica,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Mexico,2021-09-08,Rogelio Funes Mori,45,Panama,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Henry Martín,45,Panama,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Orbelín Pineda,59,Panama,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Uriel Antuna,31,Panama,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Jesús Corona,84,Panama,FW,1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Rodolfo Pizarro,6,Panama,"DF,FW",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Jonathan dos Santos,45,Panama,CM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Francisco Sebastián Córdova,45,Panama,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Charly Rodríguez,45,Panama,CM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Andrés Guardado,45,Panama,"DF,FW",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Luis Romo,90,Panama,DM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Jesús Gallardo,90,Panama,LB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Néstor Araujo,90,Panama,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,César Montes,90,Panama,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Jorge Eduardo Sánchez,90,Panama,RB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
Mexico,2021-09-08,Guillermo Ochoa,90,Panama,GK,0,0,,0,0,,,,0,0,0,1,,,0,NA,0
Mexico,2021-10-10,Raúl Jiménez,65,Honduras,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Alexis Vega,25,Honduras,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Hirving Lozano,89,Honduras,FW,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Uriel Antuna,1,Honduras,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Jesús Corona,65,Honduras,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Rogelio Funes Mori,25,Honduras,FW,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Francisco Sebastián Córdova,65,Honduras,CM,1,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Orbelín Pineda,25,Honduras,"FW,MF",0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Héctor Herrera,90,Honduras,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Edson Álvarez,76,Honduras,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Luis Romo,14,Honduras,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Jesús Gallardo,90,Honduras,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Héctor Moreno,90,Honduras,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,César Montes,90,Honduras,CB,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Luis Alfonso Rodríguez,90,Honduras,RB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-10,Guillermo Ochoa,90,Honduras,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
Mexico,2021-10-13,Rogelio Funes Mori,62,El Salvador,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-13,Raúl Jiménez,28,El Salvador,FW,1,0,,1,1,,,,1,0,0,0,NA,NA,NA,NA,NA
Mexico,2021-10-13,Alexis Vega,20,El Salvador,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
