Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Portugal,2021-03-24,Bernardo Silva,87,Azerbaijan,FW,0,0,,0,0,3,1,0,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,Sérgio Oliveira,3,Azerbaijan,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,André Silva,74,Azerbaijan,FW,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,João Félix,16,Azerbaijan,"FW,MF",0,0,,0,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,Cristiano Ronaldo,90,Azerbaijan,FW,0,0,,0,0,8,3,0,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,Rúben Neves,87,Azerbaijan,CM,0,0,,0,0,3,2,1,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,João Palhinha,3,Azerbaijan,MF,0,0,,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,João Moutinho,45,Azerbaijan,CM,0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,Bruno Fernandes,45,Azerbaijan,"FW,MF",0,0,,0,0,5,5,1,1,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,Pedro Neto,62,Azerbaijan,CM,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,Rafa Silva,28,Azerbaijan,"FW,MF",0,0,,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,Nuno Mendes,90,Azerbaijan,LB,0,0,,0,0,0,0,2,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,Domingos Duarte,90,Azerbaijan,CB,0,0,,0,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,Rúben Dias,90,Azerbaijan,CB,0,0,,0,0,2,0,0,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,João Cancelo,90,Azerbaijan,RB,0,0,,0,0,4,2,0,0,0,0,0,NA,NA,NA,NA,NA
Portugal,2021-03-24,Anthony Lopes,90,Azerbaijan,GK,0,0,,0,0,0,0,0,0,0,0,0,0,,0,NA,0
Portugal,2021-03-27,Bernardo Silva,90,Serbia,FW,0,1,,0,0,1,1,1,0,0,0,2,NA,NA,NA,NA,NA
Portugal,2021-03-27,Cristiano Ronaldo,90,Serbia,FW,0,0,,0,0,6,1,0,1,0,0,2,NA,NA,NA,NA,NA
