Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Spain,2021-03-25,Sergio Canales,63,Greece,FW,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Bryan Gil,27,Greece,"FW,MF",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Álvaro Morata,90,Greece,FW,1,0,,0,0,3,2,0,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Ferrán Torres,71,Greece,FW,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Mikel Oyarzabal,19,Greece,"FW,MF",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Koke,71,Greece,CM,0,1,,0,0,3,0,0,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Thiago Alcántara,19,Greece,MF,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Rodri,90,Greece,CM,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Dani Olmo,63,Greece,CM,0,0,,0,0,2,0,0,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Pedri,27,Greece,MF,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,José Luis Gayà,90,Greece,LB,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Eric García,90,Greece,CB,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Sergio Ramos,45,Greece,CB,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Iñigo Martínez,45,Greece,DF,0,0,,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Marcos Llorente,90,Greece,RB,0,0,,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-25,Unai Simón,90,Greece,GK,0,0,,0,0,0,0,0,0,0,0,1,0,,0,NA,0
Spain,2021-03-28,Bryan Gil,45,Georgia,FW,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-28,Dani Olmo,45,Georgia,"FW,MF",1,0,,0,0,2,1,2,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-28,Álvaro Morata,90,Georgia,FW,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-28,Ferrán Torres,90,Georgia,FW,1,0,,0,0,4,2,0,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-28,Pedri,90,Georgia,CM,0,0,,0,0,1,0,3,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-28,Sergio Busquets,72,Georgia,CM,0,0,,0,0,0,0,2,0,0,0,1,NA,NA,NA,NA,NA
Spain,2021-03-28,Mikel Oyarzabal,18,Georgia,"FW,MF",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
