Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
United States,2021-09-02,Brenden Aaronson,77,El Salvador,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Cristian Roldan,13,El Salvador,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Tyler Adams,90,El Salvador,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Konrad De La Fuente,63,El Salvador,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Kellyn Acosta,27,El Salvador,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Sergiño Dest,63,El Salvador,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Antonee Robinson,27,El Salvador,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Weston McKennie,90,El Salvador,"DF,MF",0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Tim Ream,90,El Salvador,DF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Gio Reyna,90,El Salvador,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Miles Robinson,90,El Salvador,DF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Josh Sargent,63,El Salvador,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Jordan Pefok,27,El Salvador,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Matt Turner,90,El Salvador,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
United States,2021-09-02,DeAndre Yedlin,77,El Salvador,"DF,MF",0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-02,Sebastian Lletget,13,El Salvador,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-09-08,Ricardo Pepi,90,Honduras,FW,1,1,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,Christian Pulisic,61,Honduras,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,Cristian Roldan,29,Honduras,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,Josh Sargent,45,Honduras,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,Brenden Aaronson,45,Honduras,"FW,MF",1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,George Bello,45,Honduras,LM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,Antonee Robinson,45,Honduras,"DF,MF",1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,Kellyn Acosta,90,Honduras,CM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,James Sands,72,Honduras,CM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,DeAndre Yedlin,18,Honduras,"DF,MF",0,1,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,Tyler Adams,90,Honduras,RM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,Mark McKenzie,90,Honduras,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,John Brooks,45,Honduras,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,Sebastian Lletget,45,Honduras,"FW,MF",1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,Miles Robinson,90,Honduras,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-09-08,Matt Turner,90,Honduras,GK,0,0,,0,0,,,,0,0,0,1,,,0,NA,0
United States,2021-10-07,Ricardo Pepi,67,Jamaica,FW,2,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Gyasi Zardes,23,Jamaica,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Brenden Aaronson,67,Jamaica,FW,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Timothy Weah,23,Jamaica,"DF,FW",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Paul Arriola,90,Jamaica,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Weston McKennie,90,Jamaica,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Yunus Musah,76,Jamaica,CM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Luca de la Torre,14,Jamaica,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Tyler Adams,82,Jamaica,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Kellyn Acosta,8,Jamaica,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Antonee Robinson,90,Jamaica,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Miles Robinson,90,Jamaica,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Walker Zimmerman,90,Jamaica,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Sergiño Dest,76,Jamaica,RB,0,1,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Shaq Moore,14,Jamaica,"DF,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA,NA
United States,2021-10-07,Matt Turner,90,Jamaica,GK,0,0,,0,0,,,,0,0,0,0,,,0,NA,0
United States,2021-10-10,Gyasi Zardes,66,Panama,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Ricardo Pepi,24,Panama,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Timothy Weah,67,Panama,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Cristian Roldan,23,Panama,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Paul Arriola,45,Panama,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Brenden Aaronson,45,Panama,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Sebastian Lletget,90,Panama,CM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Yunus Musah,45,Panama,CM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Tyler Adams,45,Panama,MF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Kellyn Acosta,90,Panama,DM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,George Bello,90,Panama,LB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Mark McKenzie,90,Panama,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Walker Zimmerman,90,Panama,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Shaq Moore,67,Panama,RB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,DeAndre Yedlin,23,Panama,"DF,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-10,Matt Turner,90,Panama,GK,0,0,,0,0,,,,0,0,0,1,,,0,NA,0
United States,2021-10-13,Ricardo Pepi,86,Costa Rica,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Gyasi Zardes,4,Costa Rica,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Brenden Aaronson,85,Costa Rica,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Walker Zimmerman,5,Costa Rica,DF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Timothy Weah,72,Costa Rica,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Matthew Hoppe,18,Costa Rica,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Weston McKennie,90,Costa Rica,CM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Yunus Musah,77,Costa Rica,CM,0,1,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Gianluca Busio,13,Costa Rica,MF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Tyler Adams,90,Costa Rica,DM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Antonee Robinson,90,Costa Rica,LB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Chris Richards,90,Costa Rica,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Miles Robinson,90,Costa Rica,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Sergiño Dest,72,Costa Rica,RB,1,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,DeAndre Yedlin,18,Costa Rica,"DF,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-10-13,Zack Steffen,90,Costa Rica,GK,0,0,,0,0,,,,0,0,0,1,,,0,NA,0
United States,2021-11-16,Ricardo Pepi,77,Jamaica,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-11-16,Jesús Ferreira,13,Jamaica,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-11-16,Brenden Aaronson,76,Jamaica,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
United States,2021-11-16,Paul Arriola,14,Jamaica,"DF,FW",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA,NA
