Country,Date,Player,Mins,Opp Team,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,PK Non SO Conceded,PK SO scorer,GK PK SO saves
Uruguay,2020-10-08,Luis Suárez,90,Chile,FW,1,0,,1,1,1,1,0,0,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Nicolás De La Cruz,55,Chile,AM,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Nahitan Nández,35,Chile,"DF,MF",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Giorgian De Arrascaeta,75,Chile,AM,0,0,,0,0,2,0,1,0,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Jonathan Rodríguez,15,Chile,"FW,MF",0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Brian Rodríguez,86,Chile,AM,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Maxi Gómez,4,Chile,FW,1,0,,0,0,1,1,0,1,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Rodrigo Bentancur,75,Chile,DM,0,0,,0,0,0,0,1,1,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Mauro Arambarri,15,Chile,MF,0,0,,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Federico Valverde,90,Chile,DM,0,0,,0,0,2,0,1,0,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Matías Viña,90,Chile,LB,0,0,,0,0,0,0,1,0,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Diego Godín,90,Chile,CB,0,0,,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Sebastián Coates,90,Chile,CB,0,0,,0,0,1,0,1,1,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Martín Cáceres,90,Chile,RB,0,0,,0,0,1,0,1,0,0,0,1,NA,NA,NA,NA,NA
Uruguay,2020-10-08,Martín Campaña,90,Chile,GK,0,0,,0,0,0,0,0,0,0,0,1,2,66.7,0,NA,0
Uruguay,2020-10-13,Maxi Gómez,62,Ecuador,FW,0,0,,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Jonathan Rodríguez,28,Ecuador,"FW,MF",0,0,,0,0,1,1,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Luis Suárez,90,Ecuador,FW,2,0,,2,2,2,2,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Brian Rodríguez,45,Ecuador,LM,0,0,,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Darwin Núñez,45,Ecuador,FW,0,0,,0,0,1,1,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Rodrigo Bentancur,76,Ecuador,CM,0,0,,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Lucas Torreira,14,Ecuador,MF,0,0,,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Federico Valverde,86,Ecuador,CM,0,0,,0,0,1,0,1,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Mauro Arambarri,4,Ecuador,MF,0,0,,0,0,1,0,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Nahitan Nández,45,Ecuador,RM,0,0,,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Nicolás De La Cruz,45,Ecuador,MF,0,0,,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Matías Viña,90,Ecuador,LB,0,0,,0,0,0,0,4,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Diego Godín,90,Ecuador,CB,0,0,,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Ronald Araújo,90,Ecuador,CB,0,0,,0,0,1,0,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Martín Cáceres,90,Ecuador,RB,0,0,,0,0,0,0,0,0,0,0,4,NA,NA,NA,NA,NA
Uruguay,2020-10-13,Martín Campaña,90,Ecuador,GK,0,0,,0,0,0,0,0,0,0,0,4,3,42.9,0,NA,0
Colombia,2020-11-13,Luis Muriel,59,Uruguay,FW,0,0,,0,0,1,0,0,0,0,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,Alfredo Morelos,31,Uruguay,FW,0,0,,0,0,1,0,0,0,0,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,Duván Zapata,90,Uruguay,FW,0,0,,0,0,2,1,0,0,0,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,James Rodríguez,90,Uruguay,FW,0,0,,0,0,3,0,0,0,0,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,Jefferson Lerma,90,Uruguay,CM,0,0,,0,0,1,0,0,1,0,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,Wílmar Barrios,31,Uruguay,CM,0,0,,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,Luis Díaz,59,Uruguay,"FW,MF",0,0,,0,0,2,0,0,1,0,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,Mateus Uribe,64,Uruguay,CM,0,0,,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,Edwin Cardona,26,Uruguay,"FW,MF",0,0,,0,0,0,0,0,1,0,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,Johan Mojica,90,Uruguay,LB,0,0,,0,0,1,1,1,0,0,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,Jeison Murillo,90,Uruguay,CB,0,0,,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,Yerry Mina,89,Uruguay,CB,0,0,,0,0,0,0,0,2,1,0,3,NA,NA,NA,NA,NA
Colombia,2020-11-13,Juan Cuadrado,90,Uruguay,RB,0,0,,0,0,0,0,0,0,0,0,3,NA,NA,NA,NA,NA
