Country,Date,Player,Mins,Pos,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
Argentina,2020-10-08,Lautaro Martínez,75,FW,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Lucas Alario,15,FW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Lucas Ocampos,83,AM,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Nicolás Domínguez,7,MF,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Lionel Messi,90,AM,1,0,1,1,3,1,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Marcos Acuña,65,DM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Eduardo Salvio,25,"FW,MF",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Leandro Paredes,90,DM,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Rodrigo De Paul,90,DM,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Nicolás Tagliafico,90,LB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Nicolás Otamendi,90,CB,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Lucas Martínez Quarta,90,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Gonzalo Montiel,83,RB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Juan Foyth,7,DF,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2020-10-08,Franco Armani,90,GK,0,0,0,0,0,0,0,0,0,0,,NA,0
Brazil,2020-10-09,Neymar,90,FW,0,2,0,0,6,2,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Roberto Firmino,70,FW,2,0,0,0,2,2,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Richarlison,20,"FW,MF",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Everton Soares,58,FW,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Rodrygo,32,"FW,MF",0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Douglas Luiz,90,CM,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Casemiro,90,CM,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Philippe Coutinho,76,CM,1,0,0,0,3,2,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Everton Ribeiro,14,"FW,MF",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Brazil,2020-10-09,Renan Lodi,76,LB,0,1,0,0,1,1,0,0,NA,NA,NA,NA,NA
