Country,Date,Player,Mins,Pos,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
Argentina,2022-12-13,Julián Álvarez,73,FW,2,0,0,0,2,2,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Paulo Dybala,17,FW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Lionel Messi,90,FW,1,1,1,1,1,1,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Alexis Mac Allister,85,"LM,CM",0,0,0,0,2,1,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Ángel Correa,5,CM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Enzo Fernández,90,CM,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Leandro Paredes,61,CM,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Lisandro Martínez,29,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Rodrigo De Paul,73,"RM,CM",0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Exequiel Palacios,17,CM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Nicolás Tagliafico,90,LB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Nicolás Otamendi,90,CB,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Cristian Romero,90,CB,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Nahuel Molina,85,RB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Juan Foyth,5,RB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
Argentina,2022-12-13,Emiliano Martínez,90,GK,0,0,0,0,0,0,0,0,0,2,100.0,NA,0
