Country,Date,Player,Mins,Pos,Gls,Ast,PKwon,PK,PKatt,Shots,SoT,TklW,CrdY,CrdR,OG,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
Egypt,2021-09-01,Mohamed Sherif,90,FW,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Hussein El Shahat,67,AM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Ramadan Sobhi,23,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Afsha,89,AM,1,0,,1,1,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Hamdy Fathy,1,MF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Ahmed Sayed,67,AM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Abdallah Said,23,"FW,MF",0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Amro El Soulia,90,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Tarek Hamed,90,DM,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Ahmed Aboul-Fotouh,77,LB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Ayman Ashraf,13,DF,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,El Wensh,90,CB,0,0,,0,0,,,,1,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Ahmed Hegazi,90,CB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Baher El Mohamady,90,RB,0,0,,0,0,,,,0,0,0,0,NA,NA,NA,NA
Egypt,2021-09-01,Mohamed El-Shenawy,90,GK,0,0,,0,0,,,,0,0,0,0,,,NA,0
Egypt,2021-09-05,Mohamed Sherif,90,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Afsha,76,AM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Mostafa Mohamed,14,FW,1,0,,0,0,,,,1,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Mohamed Salah,90,AM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Amro El Soulia,76,DM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Abdallah Said,14,"FW,MF",0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Hamdy Fathy,90,DM,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Omar Gaber,69,DM,0,0,,0,0,,,,2,1,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Ayman Ashraf,82,LB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Salah Mohsen,8,FW,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,El Wensh,90,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Ahmed Hegazi,90,CB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Ahmed Tawfik,72,RB,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Baher El Mohamady,18,DF,0,0,,0,0,,,,0,0,0,1,NA,NA,NA,NA
Egypt,2021-09-05,Mohamed El-Shenawy,90,GK,0,0,,0,0,,,,0,0,0,1,,,NA,0
