Country,Date,Player,Mins,Pos,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
England,2021-03-25,Dominic Calvert-Lewin,62,FW,2,0,0,0,4,2,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Ollie Watkins,28,"FW,MF",1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Raheem Sterling,45,AM,1,0,0,0,7,1,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Phil Foden,45,"FW,MF",0,1,0,0,1,1,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Mason Mount,45,AM,0,1,0,0,2,1,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Jude Bellingham,45,MF,0,0,0,0,3,1,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Jesse Lingard,90,AM,0,1,0,0,10,5,0,0,NA,NA,NA,NA,NA
England,2021-03-25,James Ward-Prowse,90,DM,1,0,0,0,2,2,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Kalvin Phillips,90,DM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Ben Chilwell,90,LB,0,1,0,0,1,1,0,0,NA,NA,NA,NA,NA
England,2021-03-25,John Stones,45,CB,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Tyrone Mings,45,DF,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA
England,2021-03-25,Conor Coady,90,CB,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Reece James,45,RB,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Kieran Trippier,45,"DF,MF",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-25,Nick Pope,90,GK,0,0,0,0,0,0,0,0,0,0,,NA,0
England,2021-03-28,Mason Mount,90,FW,1,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Harry Kane,90,FW,1,1,0,0,5,1,1,0,NA,NA,NA,NA,NA
England,2021-03-28,Raheem Sterling,90,FW,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Kalvin Phillips,70,CM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,James Ward-Prowse,20,MF,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Declan Rice,90,CM,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
England,2021-03-28,Phil Foden,80,CM,0,0,0,0,1,1,0,0,NA,NA,NA,NA,NA
