Country,Date,Player,Mins,Pos,Gls,Ast,PK,PKatt,Shots,SoT,CrdY,CrdR,GA,Saves,Save%,Pk SO scorer,GK PK SO saves
Brazil,2019-11-19,Richarlison,90,FW,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Philippe Coutinho,90,FW,1,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Gabriel Jesus,87,FW,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Rodrygo,3,"FW,MF",0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Lucas Paquetá,83,CM,1,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Roberto Firmino,7,"FW,MF",0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Arthur Melo,79,CM,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Douglas Luiz,11,MF,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Fabinho,90,DM,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Renan Lodi,86,LB,0,2,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Emerson,4,"DF,MF",0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Éder Militão,90,CB,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Marquinhos,90,CB,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Danilo,90,RB,1,0,0,0,,,0,0,NA,NA,NA,NA,NA
Brazil,2019-11-19,Alisson,90,GK,0,0,0,0,,,0,0,0,,,NA,0
Mexico,2020-11-14,Raúl Jiménez,90,FW,1,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Hirving Lozano,82,FW,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Rodolfo Pizarro,8,"DF,FW",0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Jesús Corona,53,FW,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Uriel Antuna,37,"FW,MF",1,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Francisco Sebastián Córdova,53,CM,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Orbelín Pineda,37,"FW,MF",0,2,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Charly Rodríguez,90,CM,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Edson Álvarez,90,DM,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Jesús Gallardo,90,LB,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Héctor Moreno,90,CB,0,1,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Carlos Salcedo,82,CB,1,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Néstor Araujo,8,DF,0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Luis Alfonso Rodríguez,67,RB,0,0,0,0,,,1,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Jorge Eduardo Sánchez,23,"DF,MF",0,0,0,0,,,0,0,NA,NA,NA,NA,NA
Mexico,2020-11-14,Hugo González Durán,90,GK,0,0,0,0,,,0,0,2,,,NA,0
